Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite3_Listeners,Chrome 108.0.0.0,,,2022-12-13 09:26:35,2022-12-13 09:26:46,11.274s,PASSED
,,,,,,,
Test Cases/1.LoginTest/Test1_LoginTest,Chrome 108.0.0.0,,,2022-12-13 09:26:35,2022-12-13 09:26:46,10.791s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2022-12-13 09:26:35,2022-12-13 09:26:35,0.001s,PASSED
Start setup action : setupTestCase,Chrome 108.0.0.0,,,2022-12-13 09:26:35,2022-12-13 09:26:35,0.002s,PASSED
"println(""... I am inside Test1_LoginTest function"")",Chrome 108.0.0.0,,,2022-12-13 09:26:36,2022-12-13 09:26:36,0.001s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-13 09:26:36,2022-12-13 09:26:39,2.900s,PASSED
navigateToUrl(Url),Chrome 108.0.0.0,,,2022-12-13 09:26:39,2022-12-13 09:26:44,5.218s,PASSED
"setText(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/input_Username_username""), Username)",Chrome 108.0.0.0,,,2022-12-13 09:26:44,2022-12-13 09:26:45,1.527s,PASSED
"setEncryptedText(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/input_Password_password""), EncryptedPassword)",Chrome 108.0.0.0,,,2022-12-13 09:26:45,2022-12-13 09:26:46,0.448s,PASSED
"click(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2022-12-13 09:26:46,2022-12-13 09:26:46,0.382s,PASSED
Start tear down : tearDownTestCase,Chrome 108.0.0.0,,,2022-12-13 09:26:46,2022-12-13 09:26:46,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2022-12-13 09:26:46,2022-12-13 09:26:46,0.001s,PASSED
