Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite3_Listeners,Chrome 108.0.0.0,,,2022-12-12 19:55:47,2022-12-12 19:55:57,10.652s,PASSED
,,,,,,,
Test Cases/1.LoginTest/Test1_LoginTest,Chrome 108.0.0.0,,,2022-12-12 19:55:47,2022-12-12 19:55:57,10.189s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2022-12-12 19:55:47,2022-12-12 19:55:47,0.003s,PASSED
"println(""... I am inside Test1_LoginTest function"")",Chrome 108.0.0.0,,,2022-12-12 19:55:48,2022-12-12 19:55:48,0.003s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-12 19:55:48,2022-12-12 19:55:50,2.389s,PASSED
navigateToUrl(Url),Chrome 108.0.0.0,,,2022-12-12 19:55:50,2022-12-12 19:55:55,4.784s,PASSED
"setText(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/input_Username_username""), Username)",Chrome 108.0.0.0,,,2022-12-12 19:55:55,2022-12-12 19:55:56,1.517s,PASSED
"setEncryptedText(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/input_Password_password""), EncryptedPassword)",Chrome 108.0.0.0,,,2022-12-12 19:55:56,2022-12-12 19:55:57,0.476s,PASSED
"click(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2022-12-12 19:55:57,2022-12-12 19:55:57,0.436s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2022-12-12 19:55:57,2022-12-12 19:55:57,0.001s,PASSED
