Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite3_Listeners,Chrome 108.0.0.0,,,2022-12-14 11:16:09,2022-12-14 11:16:24,14.988s,PASSED
,,,,,,,
Test Cases/1.LoginTest/Test1_LoginTest,Chrome 108.0.0.0,,,2022-12-14 11:16:09,2022-12-14 11:16:24,14.206s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2022-12-14 11:16:09,2022-12-14 11:16:09,0.010s,PASSED
Start setup action : setupTestCase,Chrome 108.0.0.0,,,2022-12-14 11:16:09,2022-12-14 11:16:09,0.007s,PASSED
"println(""... I am inside Test1_LoginTest function"")",Chrome 108.0.0.0,,,2022-12-14 11:16:10,2022-12-14 11:16:10,0.003s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-14 11:16:10,2022-12-14 11:16:15,4.235s,PASSED
navigateToUrl(Url),Chrome 108.0.0.0,,,2022-12-14 11:16:15,2022-12-14 11:16:20,5.811s,PASSED
"setText(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/input_Username_username""), Username)",Chrome 108.0.0.0,,,2022-12-14 11:16:20,2022-12-14 11:16:22,2.030s,PASSED
"setEncryptedText(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/input_Password_password""), EncryptedPassword)",Chrome 108.0.0.0,,,2022-12-14 11:16:22,2022-12-14 11:16:23,0.702s,PASSED
"click(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2022-12-14 11:16:23,2022-12-14 11:16:23,0.389s,PASSED
Start tear down : tearDownTestCase,Chrome 108.0.0.0,,,2022-12-14 11:16:23,2022-12-14 11:16:23,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2022-12-14 11:16:24,2022-12-14 11:16:24,0.001s,PASSED
