Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MKP,Chrome 110.0.0.0,,,2023-02-11 18:46:29,2023-02-11 18:50:35,4m - 5.859s,PASSED
,,,,,,,
Test Cases/1.MKP/Sell/Fixed Price/Sell_Fixed Price_Cancel_24 hours,Chrome 110.0.0.0,,,2023-02-11 18:46:30,2023-02-11 18:46:51,21.559s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-02-11 18:46:30,2023-02-11 18:46:30,0.004s,PASSED
"callTestCase(findTestCase(""1.MKP/BeforeTest/OpenChromeProfiles""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-11 18:46:30,2023-02-11 18:46:38,7.773s,PASSED
navigateToUrl(MKP_url),Chrome 110.0.0.0,,,2023-02-11 18:46:38,2023-02-11 18:46:44,5.608s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""), 5)",Chrome 110.0.0.0,,,2023-02-11 18:46:44,2023-02-11 18:46:44,0.434s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""))",Chrome 110.0.0.0,,,2023-02-11 18:46:44,2023-02-11 18:46:44,0.311s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_My Profile""))",Chrome 110.0.0.0,,,2023-02-11 18:46:44,2023-02-11 18:46:45,0.200s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Owned""))",Chrome 110.0.0.0,,,2023-02-11 18:46:45,2023-02-11 18:46:45,0.615s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Sell""))",Chrome 110.0.0.0,,,2023-02-11 18:46:45,2023-02-11 18:46:46,0.429s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Fixed Price""))",Chrome 110.0.0.0,,,2023-02-11 18:46:46,2023-02-11 18:46:46,0.646s,PASSED
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_fixed-price-amount""), priceToSell)",Chrome 110.0.0.0,,,2023-02-11 18:46:46,2023-02-11 18:46:47,0.404s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 110.0.0.0,,,2023-02-11 18:46:47,2023-02-11 18:46:47,0.237s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 110.0.0.0,,,2023-02-11 18:46:47,2023-02-11 18:46:47,0.176s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_fixed-price-duration""))",Chrome 110.0.0.0,,,2023-02-11 18:46:47,2023-02-11 18:46:47,0.270s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_dateRange""))",Chrome 110.0.0.0,,,2023-02-11 18:46:47,2023-02-11 18:46:48,0.249s,PASSED
