Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MKP,Chrome 108.0.0.0,,,2023-01-03 16:49:42,2023-01-03 16:52:13,2m - 31.236s,PASSED
,,,,,,,
Test Cases/1.MKP/Sell/Fixed Price/Sell_Fixed Price_Cancel_24 hours,Chrome 108.0.0.0,,,2023-01-03 16:49:42,2023-01-03 16:49:57,14.500s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-01-03 16:49:42,2023-01-03 16:49:42,0.017s,PASSED
"callTestCase(findTestCase(""1.MKP/BeforeTest/OpenChromeProfiles""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-03 16:49:42,2023-01-03 16:49:47,4.788s,PASSED
navigateToUrl(MKP_url),Chrome 108.0.0.0,,,2023-01-03 16:49:47,2023-01-03 16:49:49,1.932s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""), 5)",Chrome 108.0.0.0,,,2023-01-03 16:49:49,2023-01-03 16:49:50,0.710s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""))",Chrome 108.0.0.0,,,2023-01-03 16:49:50,2023-01-03 16:49:50,0.457s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_My Profile""))",Chrome 108.0.0.0,,,2023-01-03 16:49:50,2023-01-03 16:49:51,0.433s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Owned""))",Chrome 108.0.0.0,,,2023-01-03 16:49:51,2023-01-03 16:49:51,0.803s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Sell""))",Chrome 108.0.0.0,,,2023-01-03 16:49:51,2023-01-03 16:49:52,0.577s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Fixed Price""))",Chrome 108.0.0.0,,,2023-01-03 16:49:52,2023-01-03 16:49:53,0.618s,PASSED
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_fixed-price-amount""), priceToSell)",Chrome 108.0.0.0,,,2023-01-03 16:49:53,2023-01-03 16:49:53,0.395s,PASSED
