Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite3_Listeners,Chrome 108.0.0.0,,,2022-12-12 20:01:27,2022-12-12 20:01:37,10.220s,PASSED
,,,,,,,
Test Cases/1.LoginTest/Test1_LoginTest,Chrome 108.0.0.0,,,2022-12-12 20:01:28,2022-12-12 20:01:37,9.278s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2022-12-12 20:01:28,2022-12-12 20:01:28,0.008s,PASSED
Start setup action : setupTestCase,Chrome 108.0.0.0,,,2022-12-12 20:01:28,2022-12-12 20:01:28,0.013s,PASSED
"println(""... I am inside Test1_LoginTest function"")",Chrome 108.0.0.0,,,2022-12-12 20:01:29,2022-12-12 20:01:29,0.001s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-12 20:01:29,2022-12-12 20:01:32,2.908s,PASSED
navigateToUrl(Url),Chrome 108.0.0.0,,,2022-12-12 20:01:32,2022-12-12 20:01:35,3.812s,PASSED
"setText(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/input_Username_username""), Username)",Chrome 108.0.0.0,,,2022-12-12 20:01:35,2022-12-12 20:01:37,1.205s,PASSED
"setEncryptedText(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/input_Password_password""), EncryptedPassword)",Chrome 108.0.0.0,,,2022-12-12 20:01:37,2022-12-12 20:01:37,0.484s,PASSED
"click(findTestObject(""RecordOnExistingBrowser/Page_OrangeHRM/button_Login""))",Chrome 108.0.0.0,,,2022-12-12 20:01:37,2022-12-12 20:01:37,0.389s,PASSED
Start tear down : tearDownTestCase,Chrome 108.0.0.0,,,2022-12-12 20:01:37,2022-12-12 20:01:37,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2022-12-12 20:01:37,2022-12-12 20:01:37,0.001s,PASSED
